strategy,vehicle,seed,solid_count,shape_count,shape_reduction,build_us_mean,coverage_pct,mutation_rebuild_us
D_Hierarchical,Truck_24x8x8,1,512,20,0.039062,10.8253,100.0000,20.5700
D_Hierarchical,Truck_24x8x8,7,512,20,0.039062,10.9613,100.0000,20.5100
D_Hierarchical,Truck_24x8x8,42,512,20,0.039062,10.8152,100.0000,19.5790
D_Hierarchical,Truck_24x8x8,1234,512,20,0.039062,10.9154,100.0000,19.8900
D_Hierarchical,Truck_24x8x8,31337,512,20,0.039062,12.0761,100.0000,20.0100
D_Hierarchical,LargeShip_32x16x16,1,3600,10,0.002778,23.0923,100.0000,96.1790
D_Hierarchical,LargeShip_32x16x16,7,3600,10,0.002778,22.0938,100.0000,84.5000
D_Hierarchical,LargeShip_32x16x16,42,3600,10,0.002778,22.3402,100.0000,85.9500
D_Hierarchical,LargeShip_32x16x16,1234,3600,10,0.002778,23.7561,100.0000,92.0690
D_Hierarchical,LargeShip_32x16x16,31337,3600,10,0.002778,23.8780,100.0000,84.8090
E_HybridTemplat,Jeep_8x4x4,1,52,11,0.211538,0.3842,100.0000,1.5000
E_HybridTemplat,Jeep_8x4x4,7,52,11,0.211538,0.3791,100.0000,1.3300
E_HybridTemplat,Jeep_8x4x4,42,52,11,0.211538,0.3830,100.0000,1.1700
E_HybridTemplat,Jeep_8x4x4,1234,52,11,0.211538,0.4117,100.0000,1.0000
E_HybridTemplat,Jeep_8x4x4,31337,52,11,0.211538,0.3796,100.0000,0.9700
E_HybridTemplat,APC_16x8x8,1,376,23,0.061170,1.9557,100.0000,7.1800
E_HybridTemplat,APC_16x8x8,7,376,23,0.061170,1.9811,100.0000,6.1300
E_HybridTemplat,APC_16x8x8,42,376,23,0.061170,1.8883,100.0000,6.8400
E_HybridTemplat,APC_16x8x8,1234,376,23,0.061170,1.9636,100.0000,8.1400
E_HybridTemplat,APC_16x8x8,31337,376,23,0.061170,2.5509,100.0000,8.8200
E_HybridTemplat,Tank_16x12x12,1,840,99,0.117857,3.3655,100.0000,13.8100
E_HybridTemplat,Tank_16x12x12,7,840,99,0.117857,3.3351,100.0000,12.8400
E_HybridTemplat,Tank_16x12x12,42,840,99,0.117857,3.2366,100.0000,12.7200
E_HybridTemplat,Tank_16x12x12,1234,840,99,0.117857,3.7091,100.0000,12.9900
E_HybridTemplat,Tank_16x12x12,31337,840,99,0.117857,3.7653,100.0000,12.4900
E_HybridTemplat,Truck_24x8x8,1,512,18,0.035156,2.1579,100.0000,7.7600
E_HybridTemplat,Truck_24x8x8,7,512,18,0.035156,2.1495,100.0000,7.7200
E_HybridTemplat,Truck_24x8x8,42,512,18,0.035156,2.1537,100.0000,7.8300
E_HybridTemplat,Truck_24x8x8,1234,512,18,0.035156,2.3216,100.0000,7.7900
E_HybridTemplat,Truck_24x8x8,31337,512,18,0.035156,2.2997,100.0000,7.3500
E_HybridTemplat,LargeShip_32x16x16,1,3600,10,0.002778,9.8562,100.0000,66.3800
E_HybridTemplat,LargeShip_32x16x16,7,3600,10,0.002778,13.0225,100.0000,68.9000
E_HybridTemplat,LargeShip_32x16x16,42,3600,10,0.002778,10.4072,100.0000,67.3600
E_HybridTemplat,LargeShip_32x16x16,1234,3600,10,0.002778,12.0250,100.0000,79.9190
E_HybridTemplat,LargeShip_32x16x16,31337,3600,10,0.002778,10.1703,100.0000,66.1000
F_WheelAware,Jeep_8x4x4,1,52,11,0.211538,0.3852,100.0000,1.2700
F_WheelAware,Jeep_8x4x4,7,52,11,0.211538,0.3848,100.0000,1.2000
F_WheelAware,Jeep_8x4x4,42,52,11,0.211538,0.3790,100.0000,1.0500
F_WheelAware,Jeep_8x4x4,1234,52,11,0.211538,0.3808,100.0000,0.9900
F_WheelAware,Jeep_8x4x4,31337,52,11,0.211538,0.3772,100.0000,0.9700
F_WheelAware,APC_16x8x8,1,376,23,0.061170,1.9584,100.0000,6.7100
F_WheelAware,APC_16x8x8,7,376,23,0.061170,2.5903,100.0000,5.9600
F_WheelAware,APC_16x8x8,42,376,23,0.061170,1.9247,100.0000,6.5200
F_WheelAware,APC_16x8x8,1234,376,23,0.061170,1.9062,100.0000,5.7200
F_WheelAware,APC_16x8x8,31337,376,23,0.061170,1.9021,100.0000,5.7300
F_WheelAware,Tank_16x12x12,1,840,99,0.117857,3.3546,100.0000,13.5600
F_WheelAware,Tank_16x12x12,7,840,99,0.117857,3.2250,100.0000,12.6700
F_WheelAware,Tank_16x12x12,42,840,99,0.117857,3.7544,100.0000,13.0200
F_WheelAware,Tank_16x12x12,1234,840,99,0.117857,3.3233,100.0000,12.5600
F_WheelAware,Tank_16x12x12,31337,840,99,0.117857,3.3654,100.0000,12.1100
F_WheelAware,Truck_24x8x8,1,512,18,0.035156,2.2708,100.0000,7.5600
F_WheelAware,Truck_24x8x8,7,512,18,0.035156,2.1452,100.0000,7.7400
F_WheelAware,Truck_24x8x8,42,512,18,0.035156,2.2674,100.0000,8.0300
F_WheelAware,Truck_24x8x8,1234,512,18,0.035156,2.2134,100.0000,7.7600
F_WheelAware,Truck_24x8x8,31337,512,18,0.035156,2.1462,100.0000,7.2400
F_WheelAware,LargeShip_32x16x16,1,3600,10,0.002778,10.8179,100.0000,65.7500
F_WheelAware,LargeShip_32x16x16,7,3600,10,0.002778,10.5535,100.0000,67.1300
F_WheelAware,LargeShip_32x16x16,42,3600,10,0.002778,11.7979,100.0000,74.9800
F_WheelAware,LargeShip_32x16x16,1234,3600,10,0.002778,10.8722,100.0000,74.5190
F_WheelAware,LargeShip_32x16x16,31337,3600,10,0.002778,10.6294,100.0000,66.6400
