Strategy,Scenario,TickRate,Seed,StepTimeNs,Stability,LeftWingHealth,EngineHealth,WingSevered
D_OBBHitboxes_Cascading_GForce,hydraulics_failure,20,4,358.15,1,1.0000,1.0000,0
D_OBBHitboxes_Cascading_GForce,pilot_sniping,20,0,362.80,1,1.0000,1.0000,0
D_OBBHitboxes_Cascading_GForce,pilot_sniping,20,1,361.20,1,1.0000,1.0000,0
D_OBBHitboxes_Cascading_GForce,pilot_sniping,20,2,357.40,1,1.0000,1.0000,0
D_OBBHitboxes_Cascading_GForce,pilot_sniping,20,3,357.39,1,1.0000,1.0000,0
D_OBBHitboxes_Cascading_GForce,pilot_sniping,20,4,357.35,1,1.0000,1.0000,0
E_Vectorized_Projectiles,direct_wing_hit,20,0,315.93,1,1.0000,1.0000,0
E_Vectorized_Projectiles,direct_wing_hit,20,1,293.84,1,1.0000,1.0000,0
E_Vectorized_Projectiles,direct_wing_hit,20,2,293.72,1,1.0000,1.0000,0
E_Vectorized_Projectiles,direct_wing_hit,20,3,291.31,1,1.0000,1.0000,0
E_Vectorized_Projectiles,direct_wing_hit,20,4,289.95,1,1.0000,1.0000,0
E_Vectorized_Projectiles,engine_fire_cascade,20,0,290.11,1,1.0000,1.0000,0
E_Vectorized_Projectiles,engine_fire_cascade,20,1,318.41,1,1.0000,1.0000,0
E_Vectorized_Projectiles,engine_fire_cascade,20,2,320.44,1,1.0000,1.0000,0
E_Vectorized_Projectiles,engine_fire_cascade,20,3,377.69,1,1.0000,1.0000,0
E_Vectorized_Projectiles,engine_fire_cascade,20,4,322.54,1,1.0000,1.0000,0
E_Vectorized_Projectiles,high_g_maneuver_snapping,20,0,291.45,1,1.0000,1.0000,0
E_Vectorized_Projectiles,high_g_maneuver_snapping,20,1,292.89,1,1.0000,1.0000,0
E_Vectorized_Projectiles,high_g_maneuver_snapping,20,2,296.18,1,1.0000,1.0000,0
E_Vectorized_Projectiles,high_g_maneuver_snapping,20,3,286.30,1,1.0000,1.0000,0
E_Vectorized_Projectiles,high_g_maneuver_snapping,20,4,290.46,1,1.0000,1.0000,0
E_Vectorized_Projectiles,hydraulics_failure,20,0,313.42,1,1.0000,1.0000,0
E_Vectorized_Projectiles,hydraulics_failure,20,1,334.75,1,1.0000,1.0000,0
E_Vectorized_Projectiles,hydraulics_failure,20,2,299.76,1,1.0000,1.0000,0
E_Vectorized_Projectiles,hydraulics_failure,20,3,365.70,1,1.0000,1.0000,0
E_Vectorized_Projectiles,hydraulics_failure,20,4,319.91,1,1.0000,1.0000,0
