Strategy,BldgType,Seed,Mean_ns,Median_ns,P95_ns,P99_ns,StdDev_ns,Min_ns,Max_ns,Plausibility,Components,Walls,Roof,Floor,Doors,Windows
E_Hybrid_GrammarPlusNoise,industrial_warehouse,7,169078,156709,229129,265349,26652.3,151339,339999,0.907168,1,286,342,342,1,3
E_Hybrid_GrammarPlusNoise,industrial_warehouse,42,244784,227659,341469,385758,41086.5,212800,473978,0.921962,1,469,400,400,1,5
E_Hybrid_GrammarPlusNoise,industrial_warehouse,1234,197481,183709,290228,314829,35881,170169,404558,0.926536,1,358,342,342,1,4
E_Hybrid_GrammarPlusNoise,industrial_warehouse,31337,267166,247859,369109,407808,43060.3,241089,557008,0.922403,1,491,460,460,1,5
E_Hybrid_GrammarPlusNoise,military_bunker,1,55756,50550,82939,128350,14788.9,49590,265199,0.738144,1,97,72,72,1,2
E_Hybrid_GrammarPlusNoise,military_bunker,7,41710.1,35810,64669,86870,12593.5,35340,157340,0.6495,1,28,54,54,1,0
E_Hybrid_GrammarPlusNoise,military_bunker,42,53186.1,50320,75529,89610,9786.84,49820,228119,0.745003,1,97,70,70,1,2
E_Hybrid_GrammarPlusNoise,military_bunker,1234,45040.6,40860,70320,79390,11375.3,39270,221799,0.723904,1,57,54,54,1,1
E_Hybrid_GrammarPlusNoise,military_bunker,31337,59047.1,56250,73100,105130,10317.7,55610,171529,0.755227,1,110,90,90,1,2
E_Hybrid_GrammarPlusNoise,command_post,1,97292.7,90430,146380,163440,19669.5,84079,294669,0.8137,1,191,156,156,1,3
E_Hybrid_GrammarPlusNoise,command_post,7,77634.3,68300,118910,154720,22409.5,62930,377448,0.778611,1,90,130,130,1,1
E_Hybrid_GrammarPlusNoise,command_post,42,106684,99040,159319,202330,21084.3,94179,273719,0.823507,1,201,168,168,1,3
E_Hybrid_GrammarPlusNoise,command_post,1234,86280,76980,133080,151429,18882.8,74610,203319,0.791528,1,135,143,143,1,2
E_Hybrid_GrammarPlusNoise,command_post,31337,121779,114189,183689,242459,26280.1,105270,311979,0.85253,1,224,210,210,1,3
