2026-06-21-electronic-warfare-jamming — prototype benchmark
C++26 CPU analytical model; Clang -O3 -march=native target
5 strategies x 5 scenes x 5 seeds x 1000 iter = 125,000 main measurements

[C_DirectedSpot] [small_engagement_5v5] seed=1: wall=345.7 ns, det=15.0%, comms=0.0%, bt=126 m, pwr=25.00 W, ft=0.0
[C_DirectedSpot] [small_engagement_5v5] seed=2: wall=346.4 ns, det=15.0%, comms=0.0%, bt=126 m, pwr=25.00 W, ft=0.0
[C_DirectedSpot] [small_engagement_5v5] seed=3: wall=378.1 ns, det=15.0%, comms=0.0%, bt=126 m, pwr=25.00 W, ft=0.0
[C_DirectedSpot] [small_engagement_5v5] seed=4: wall=361.5 ns, det=15.0%, comms=0.0%, bt=126 m, pwr=25.00 W, ft=0.0
[C_DirectedSpot] [small_engagement_5v5] seed=5: wall=367.7 ns, det=15.0%, comms=0.0%, bt=126 m, pwr=25.00 W, ft=0.0
[C_DirectedSpot] [air_defense_battery_3r1j] seed=1: wall=92.7 ns, det=15.0%, comms=0.0%, bt=1152 m, pwr=30.00 W, ft=0.0
[C_DirectedSpot] [air_defense_battery_3r1j] seed=2: wall=93.5 ns, det=15.0%, comms=0.0%, bt=1152 m, pwr=30.00 W, ft=0.0
[C_DirectedSpot] [air_defense_battery_3r1j] seed=3: wall=97.0 ns, det=15.0%, comms=0.0%, bt=1152 m, pwr=30.00 W, ft=0.0
[C_DirectedSpot] [air_defense_battery_3r1j] seed=4: wall=101.4 ns, det=15.0%, comms=0.0%, bt=1152 m, pwr=30.00 W, ft=0.0
[C_DirectedSpot] [air_defense_battery_3r1j] seed=5: wall=96.3 ns, det=15.0%, comms=0.0%, bt=1152 m, pwr=30.00 W, ft=0.0
[C_DirectedSpot] [strike_package_5a3j_escort] seed=1: wall=299.3 ns, det=15.0%, comms=0.0%, bt=69 m, pwr=75.00 W, ft=0.0
[C_DirectedSpot] [strike_package_5a3j_escort] seed=2: wall=348.2 ns, det=15.0%, comms=0.0%, bt=69 m, pwr=75.00 W, ft=0.0
[C_DirectedSpot] [strike_package_5a3j_escort] seed=3: wall=356.0 ns, det=15.0%, comms=0.0%, bt=69 m, pwr=75.00 W, ft=0.0
[C_DirectedSpot] [strike_package_5a3j_escort] seed=4: wall=408.0 ns, det=15.0%, comms=0.0%, bt=69 m, pwr=75.00 W, ft=0.0
[C_DirectedSpot] [strike_package_5a3j_escort] seed=5: wall=236.5 ns, det=15.0%, comms=0.0%, bt=69 m, pwr=75.00 W, ft=0.0
[C_DirectedSpot] [ground_force_defense_10j5r] seed=1: wall=669.9 ns, det=15.0%, comms=0.0%, bt=399 m, pwr=100.00 W, ft=0.0
[C_DirectedSpot] [ground_force_defense_10j5r] seed=2: wall=629.2 ns, det=15.0%, comms=0.0%, bt=399 m, pwr=100.00 W, ft=0.0
[C_DirectedSpot] [ground_force_defense_10j5r] seed=3: wall=645.0 ns, det=15.0%, comms=0.0%, bt=399 m, pwr=100.00 W, ft=0.0
[C_DirectedSpot] [ground_force_defense_10j5r] seed=4: wall=669.4 ns, det=15.0%, comms=0.0%, bt=399 m, pwr=100.00 W, ft=0.0
[C_DirectedSpot] [ground_force_defense_10j5r] seed=5: wall=644.3 ns, det=15.0%, comms=0.0%, bt=399 m, pwr=100.00 W, ft=0.0
[C_DirectedSpot] [ew_duel_2j2r_freq_agile] seed=1: wall=245.2 ns, det=15.0%, comms=0.0%, bt=515 m, pwr=32.00 W, ft=0.0
[C_DirectedSpot] [ew_duel_2j2r_freq_agile] seed=2: wall=185.3 ns, det=15.0%, comms=0.0%, bt=515 m, pwr=32.00 W, ft=0.0
[C_DirectedSpot] [ew_duel_2j2r_freq_agile] seed=3: wall=168.5 ns, det=15.0%, comms=0.0%, bt=515 m, pwr=32.00 W, ft=0.0
[C_DirectedSpot] [ew_duel_2j2r_freq_agile] seed=4: wall=175.9 ns, det=15.0%, comms=0.0%, bt=515 m, pwr=32.00 W, ft=0.0
[C_DirectedSpot] [ew_duel_2j2r_freq_agile] seed=5: wall=171.8 ns, det=15.0%, comms=0.0%, bt=515 m, pwr=32.00 W, ft=0.0
[D_DeceptionDRFM] [small_engagement_5v5] seed=1: wall=393.8 ns, det=15.0%, comms=0.4%, bt=115 m, pwr=25.00 W, ft=577380.0
[D_DeceptionDRFM] [small_engagement_5v5] seed=2: wall=382.3 ns, det=15.0%, comms=0.4%, bt=115 m, pwr=25.00 W, ft=531275.0
[D_DeceptionDRFM] [small_engagement_5v5] seed=3: wall=389.1 ns, det=15.0%, comms=0.7%, bt=115 m, pwr=25.00 W, ft=401971.0
[D_DeceptionDRFM] [small_engagement_5v5] seed=4: wall=395.9 ns, det=15.0%, comms=0.3%, bt=115 m, pwr=25.00 W, ft=556783.0
[D_DeceptionDRFM] [small_engagement_5v5] seed=5: wall=433.8 ns, det=15.0%, comms=0.3%, bt=115 m, pwr=25.00 W, ft=781487.0
[D_DeceptionDRFM] [air_defense_battery_3r1j] seed=1: wall=99.3 ns, det=15.0%, comms=0.9%, bt=154 m, pwr=30.00 W, ft=16726.0
[D_DeceptionDRFM] [air_defense_battery_3r1j] seed=2: wall=97.8 ns, det=15.0%, comms=0.9%, bt=154 m, pwr=30.00 W, ft=16497.0
[D_DeceptionDRFM] [air_defense_battery_3r1j] seed=3: wall=110.3 ns, det=15.0%, comms=0.9%, bt=154 m, pwr=30.00 W, ft=16298.0
[D_DeceptionDRFM] [air_defense_battery_3r1j] seed=4: wall=146.7 ns, det=15.0%, comms=0.9%, bt=154 m, pwr=30.00 W, ft=16366.0
