strategy,scene,seed,num_units,ticks,mean_ns_per_unit_per_tick,median_ns_per_unit_per_tick,p95_ns_per_unit_per_tick,p99_ns_per_unit_per_tick,std_ns_per_unit_per_tick,total_ms,total_decisions
D_EventDriven,recon_patrol,7,8,1500,259.858,262.225,263.605,263.605,4.06334,3.7207,12000
D_EventDriven,recon_patrol,42,8,1500,262.349,264.452,266.919,266.919,3.16231,3.76494,12000
D_EventDriven,recon_patrol,1234,8,1500,277.448,277.093,286.585,286.585,6.12463,4.05609,12000
D_EventDriven,recon_patrol,31337,8,1500,258.648,261.56,267.917,267.917,5.76639,3.67679,12000
D_EventDriven,platoon_attack,1,32,1000,248.007,248.36,258.187,261.48,5.91671,9.58432,32000
D_EventDriven,platoon_attack,7,32,1000,251.43,251,264.909,271.526,7.81734,9.63749,32000
D_EventDriven,platoon_attack,42,32,1000,272.976,272.34,280.909,341.71,13.5176,10.4113,32000
D_EventDriven,platoon_attack,1234,32,1000,267.91,267.839,276.538,289.057,6.62202,10.2225,32000
D_EventDriven,platoon_attack,31337,32,1000,250.802,248.98,262.31,263.919,6.57621,9.57589,32000
D_EventDriven,company_advance,1,128,600,233.88,229.383,247.667,257.817,49.6171,21.963,76800
D_EventDriven,company_advance,7,128,600,213.212,213.7,225.633,230.982,7.51827,20.0013,76800
D_EventDriven,company_advance,42,128,600,223.299,223.748,241.713,253.697,10.767,20.965,76800
D_EventDriven,company_advance,1234,128,600,223.991,223.147,240.483,246.982,10.5249,21.1309,76800
D_EventDriven,company_advance,31337,128,600,220.577,221.3,233.415,244.382,9.18735,20.9783,76800
D_EventDriven,urban_clear,1,64,800,255.619,256.188,270.087,272.249,7.39395,15.9173,51200
D_EventDriven,urban_clear,7,64,800,257.526,257.311,271.075,277.561,6.8825,16.0314,51200
D_EventDriven,urban_clear,42,64,800,237.286,236.548,248.097,252.988,6.79513,14.7181,51200
D_EventDriven,urban_clear,1234,64,800,242.306,236.148,249.287,664.07,53.7377,14.9154,51200
