strategy,scene,op,mean_us,median_us,p95_us,n,bytes
E_ContentAddressed_Dedupe,medium_world,save,25901.23,26095.54,28740.76,5,52372
E_ContentAddressed_Dedupe,medium_world,verify,37.84,38.53,49.05,5,0
E_ContentAddressed_Dedupe,realistic_combat,delta_load,7153.49,7037.25,7998.21,5,116372
E_ContentAddressed_Dedupe,realistic_combat,load,8636.87,8514.76,9380.31,5,116372
E_ContentAddressed_Dedupe,realistic_combat,mutate_save_0,3246.95,3160.68,3494.62,5,116372
E_ContentAddressed_Dedupe,realistic_combat,save,26108.34,25657.71,30675.89,5,116372
E_ContentAddressed_Dedupe,realistic_combat,verify,39.82,34.00,58.16,5,0
E_ContentAddressed_Dedupe,small_world,delta_load,1496.63,1370.90,2062.42,5,11604
E_ContentAddressed_Dedupe,small_world,load,1888.35,1884.53,2088.99,5,11604
E_ContentAddressed_Dedupe,small_world,mutate_save_0,662.72,669.70,716.43,5,11604
E_ContentAddressed_Dedupe,small_world,save,5526.02,5284.29,6461.92,5,11604
E_ContentAddressed_Dedupe,small_world,verify,4.49,4.48,5.68,5,0
