strategy,scene,seed,iter,op,us,bytes,ok
B_ChunkedBinary_Raw,small_world,31337,0,load,74.76,231048,1
B_ChunkedBinary_Raw,small_world,31337,0,verify,4.14,0,1
B_ChunkedBinary_Raw,small_world,31337,0,mutate_save_0,1875.69,231048,1
B_ChunkedBinary_Raw,small_world,31337,0,delta_load,154.27,231048,1
C_ChunkedBinary_Zstd,small_world,31337,0,save,1535.52,153650,1
C_ChunkedBinary_Zstd,small_world,31337,0,load,556.81,153650,1
C_ChunkedBinary_Zstd,small_world,31337,0,verify,5.11,0,1
C_ChunkedBinary_Zstd,small_world,31337,0,mutate_save_0,2120.17,153650,1
C_ChunkedBinary_Zstd,small_world,31337,0,delta_load,409.86,153650,1
D_VersionedChunked_Delta_LZ4,small_world,31337,0,save,1088.59,153006,1
D_VersionedChunked_Delta_LZ4,small_world,31337,0,load,400.73,153006,1
D_VersionedChunked_Delta_LZ4,small_world,31337,0,verify,4.79,0,1
D_VersionedChunked_Delta_LZ4,small_world,31337,0,mutate_save_0,2140.02,153006,1
D_VersionedChunked_Delta_LZ4,small_world,31337,0,delta_load,386.52,153006,1
E_ContentAddressed_Dedupe,small_world,31337,0,save,5240.21,11604,1
E_ContentAddressed_Dedupe,small_world,31337,0,load,1884.53,11604,1
E_ContentAddressed_Dedupe,small_world,31337,0,verify,3.95,0,1
E_ContentAddressed_Dedupe,small_world,31337,0,mutate_save_0,614.29,11604,1
E_ContentAddressed_Dedupe,small_world,31337,0,delta_load,1335.08,11604,1
A_FullJSON_SingleFile,medium_world,1,0,save,13245.48,1530703,1
A_FullJSON_SingleFile,medium_world,1,0,load,4765.78,1530703,1
A_FullJSON_SingleFile,medium_world,1,0,verify,25.11,0,1
A_FullJSON_SingleFile,medium_world,1,0,mutate_save_0,16555.20,1530703,1
A_FullJSON_SingleFile,medium_world,1,0,delta_load,3868.93,1530703,1
B_ChunkedBinary_Raw,medium_world,1,0,save,1214.79,1068360,1
B_ChunkedBinary_Raw,medium_world,1,0,load,518.99,1068360,1
B_ChunkedBinary_Raw,medium_world,1,0,verify,28.95,0,1
B_ChunkedBinary_Raw,medium_world,1,0,mutate_save_0,4158.90,1068360,1
B_ChunkedBinary_Raw,medium_world,1,0,delta_load,554.36,1068360,1
C_ChunkedBinary_Zstd,medium_world,1,0,save,5167.97,709104,1
C_ChunkedBinary_Zstd,medium_world,1,0,load,2126.54,709104,1
C_ChunkedBinary_Zstd,medium_world,1,0,verify,29.88,0,1
C_ChunkedBinary_Zstd,medium_world,1,0,mutate_save_0,9021.13,709104,1
C_ChunkedBinary_Zstd,medium_world,1,0,delta_load,2165.78,709104,1
D_VersionedChunked_Delta_LZ4,medium_world,1,0,save,4939.33,704613,1
D_VersionedChunked_Delta_LZ4,medium_world,1,0,load,2092.10,704613,1
D_VersionedChunked_Delta_LZ4,medium_world,1,0,verify,31.01,0,1
D_VersionedChunked_Delta_LZ4,medium_world,1,0,mutate_save_0,7622.61,704613,1
D_VersionedChunked_Delta_LZ4,medium_world,1,0,delta_load,2617.25,704613,1
E_ContentAddressed_Dedupe,medium_world,1,0,save,26095.54,52372,1
E_ContentAddressed_Dedupe,medium_world,1,0,load,8135.90,52372,1
E_ContentAddressed_Dedupe,medium_world,1,0,verify,28.17,0,1
E_ContentAddressed_Dedupe,medium_world,1,0,mutate_save_0,3046.52,52372,1
E_ContentAddressed_Dedupe,medium_world,1,0,delta_load,7626.81,52372,1
A_FullJSON_SingleFile,medium_world,7,0,save,12545.56,1531735,1
A_FullJSON_SingleFile,medium_world,7,0,load,4022.78,1531735,1
A_FullJSON_SingleFile,medium_world,7,0,verify,32.45,0,1
A_FullJSON_SingleFile,medium_world,7,0,mutate_save_0,16132.86,1531735,1
A_FullJSON_SingleFile,medium_world,7,0,delta_load,5806.97,1531735,1
B_ChunkedBinary_Raw,medium_world,7,0,save,1745.75,1068360,1
B_ChunkedBinary_Raw,medium_world,7,0,load,273.51,1068360,1
B_ChunkedBinary_Raw,medium_world,7,0,verify,28.77,0,1
