strategy,scene,seed,iter,time_ns,count,components,plausibility
A_UniformRandom,uniform_stone,3,40,4610,64,40,0.0000
A_UniformRandom,uniform_stone,3,41,4920,73,49,0.0000
A_UniformRandom,uniform_stone,3,42,4960,72,48,0.0000
A_UniformRandom,uniform_stone,3,43,4460,57,35,0.0000
A_UniformRandom,uniform_stone,3,44,4449,62,45,0.0000
A_UniformRandom,uniform_stone,3,45,11570,53,41,0.0000
A_UniformRandom,uniform_stone,3,46,5910,75,48,0.0000
A_UniformRandom,uniform_stone,3,47,4460,59,38,0.0000
A_UniformRandom,uniform_stone,3,48,4240,52,33,0.0000
A_UniformRandom,uniform_stone,3,49,4630,67,43,0.0000
A_UniformRandom,uniform_stone,4,0,4210,58,43,0.0000
A_UniformRandom,uniform_stone,4,1,4290,60,47,0.0000
A_UniformRandom,uniform_stone,4,2,4330,61,44,0.0000
A_UniformRandom,uniform_stone,4,3,4290,60,45,0.0000
A_UniformRandom,uniform_stone,4,4,4620,70,54,0.0000
A_UniformRandom,uniform_stone,4,5,4600,60,38,0.0000
A_UniformRandom,uniform_stone,4,6,4550,62,41,0.0000
A_UniformRandom,uniform_stone,4,7,4360,61,48,0.0000
A_UniformRandom,uniform_stone,4,8,4720,68,45,0.0000
A_UniformRandom,uniform_stone,4,9,3960,48,42,0.0000
A_UniformRandom,uniform_stone,4,10,4690,65,41,0.0000
A_UniformRandom,uniform_stone,4,11,4690,65,45,0.0000
A_UniformRandom,uniform_stone,4,12,4220,56,39,0.0000
A_UniformRandom,uniform_stone,4,13,4180,53,37,0.0000
A_UniformRandom,uniform_stone,4,14,4330,56,32,0.0000
A_UniformRandom,uniform_stone,4,15,4370,59,39,0.0000
A_UniformRandom,uniform_stone,4,16,4460,62,42,0.0000
A_UniformRandom,uniform_stone,4,17,4220,56,39,0.0000
A_UniformRandom,uniform_stone,4,18,4300,54,41,0.0000
A_UniformRandom,uniform_stone,4,19,4450,60,39,0.0000
A_UniformRandom,uniform_stone,4,20,4340,56,45,0.0000
A_UniformRandom,uniform_stone,4,21,4420,57,41,0.0000
A_UniformRandom,uniform_stone,4,22,4730,68,45,0.0000
A_UniformRandom,uniform_stone,4,23,4280,52,38,0.0000
A_UniformRandom,uniform_stone,4,24,3960,46,32,0.0000
A_UniformRandom,uniform_stone,4,25,4640,63,38,0.0000
A_UniformRandom,uniform_stone,4,26,4350,55,41,0.0000
A_UniformRandom,uniform_stone,4,27,4460,60,44,0.0000
A_UniformRandom,uniform_stone,4,28,4130,50,34,0.0000
A_UniformRandom,uniform_stone,4,29,4760,68,44,0.0000
A_UniformRandom,uniform_stone,4,30,5540,79,39,0.0000
A_UniformRandom,uniform_stone,4,31,4360,56,38,0.0000
A_UniformRandom,uniform_stone,4,32,4890,70,52,0.0000
A_UniformRandom,uniform_stone,4,33,4480,61,40,0.0000
A_UniformRandom,uniform_stone,4,34,4480,62,46,0.0000
A_UniformRandom,uniform_stone,4,35,4100,49,37,0.0000
A_UniformRandom,uniform_stone,4,36,4060,47,35,0.0000
A_UniformRandom,uniform_stone,4,37,4440,59,47,0.0000
A_UniformRandom,uniform_stone,4,38,4600,65,48,0.0000
A_UniformRandom,uniform_stone,4,39,4700,66,44,0.0000
A_UniformRandom,uniform_stone,4,40,4200,54,38,0.0000
A_UniformRandom,uniform_stone,4,41,4330,55,38,0.0000
A_UniformRandom,uniform_stone,4,42,4880,73,49,0.0000
A_UniformRandom,uniform_stone,4,43,4570,63,41,0.0000
A_UniformRandom,uniform_stone,4,44,4570,62,43,0.0000
A_UniformRandom,uniform_stone,4,45,4510,60,45,0.0000
A_UniformRandom,uniform_stone,4,46,4500,63,50,0.0000
A_UniformRandom,uniform_stone,4,47,3920,45,36,0.0000
A_UniformRandom,uniform_stone,4,48,4480,61,45,0.0000
A_UniformRandom,uniform_stone,4,49,4039,49,39,0.0000
A_UniformRandom,uniform_stone,5,0,4100,50,38,0.0000
A_UniformRandom,uniform_stone,5,1,4660,61,36,0.0000
A_UniformRandom,uniform_stone,5,2,4050,50,40,0.0000
A_UniformRandom,uniform_stone,5,3,4340,57,43,0.0000
A_UniformRandom,uniform_stone,5,4,4300,57,45,0.0000
A_UniformRandom,uniform_stone,5,5,4340,59,45,0.0000
A_UniformRandom,uniform_stone,5,6,4570,66,49,0.0000
A_UniformRandom,uniform_stone,5,7,4420,56,34,0.0000
A_UniformRandom,uniform_stone,5,8,4580,61,40,0.0000
A_UniformRandom,uniform_stone,5,9,4030,49,36,0.0000
A_UniformRandom,uniform_stone,5,10,4310,55,40,0.0000
A_UniformRandom,uniform_stone,5,11,4170,54,43,0.0000
A_UniformRandom,uniform_stone,5,12,4170,55,40,0.0000
A_UniformRandom,uniform_stone,5,13,4280,52,33,0.0000
A_UniformRandom,uniform_stone,5,14,5210,73,36,0.0000
A_UniformRandom,uniform_stone,5,15,4600,60,41,0.0000
A_UniformRandom,uniform_stone,5,16,4530,60,39,0.0000
A_UniformRandom,uniform_stone,5,17,4900,73,48,0.0000
A_UniformRandom,uniform_stone,5,18,4700,63,38,0.0000
A_UniformRandom,uniform_stone,5,19,4690,63,41,0.0000
